,accuracy,loss,val_accuracy,val_loss
33,0.6631110906600952,0.8835486769676208,0.5600000023841858,1.348103642463684
34,0.6751111149787903,0.8519229888916016,0.7080000042915344,1.0005755424499512
35,0.6853333115577698,0.8323224782943726,0.5199999809265137,1.5270425081253052
36,0.6871111392974854,0.8126717805862427,0.6119999885559082,1.3049063682556152
37,0.6871111392974854,0.841486394405365,0.7279999852180481,0.787681519985199
38,0.6897777915000916,0.8171097040176392,0.5320000052452087,1.528601884841919
39,0.6991111040115356,0.7931604385375977,0.671999990940094,1.03816556930542
40,0.6946666836738586,0.7949785590171814,0.6359999775886536,1.0261095762252808
41,0.6817777752876282,0.8289156556129456,0.7480000257492065,0.7148606181144714
42,0.7120000123977661,0.7548959851264954,0.492000013589859,1.7715903520584106
43,0.7239999771118164,0.7459835410118103,0.628000020980835,1.08936607837677
44,0.7111111283302307,0.7620810270309448,0.7440000176429749,0.6769633293151855
45,0.7120000123977661,0.7786130905151367,0.7440000176429749,0.6612117290496826
46,0.7093333601951599,0.7627296447753906,0.671999990940094,0.8856548070907593
47,0.737333357334137,0.7036623358726501,0.7559999823570251,0.6714171171188354
48,0.7328888773918152,0.7173179984092712,0.6439999938011169,1.1003926992416382
49,0.7426666617393494,0.722355842590332,0.7519999742507935,0.7320648431777954
50,0.7386666536331177,0.706713080406189,0.7200000286102295,0.8153504133224487
51,0.7319999933242798,0.6932887434959412,0.671999990940094,1.0544830560684204
52,0.742222249507904,0.6898350715637207,0.6840000152587891,0.8037901520729065
53,0.7395555377006531,0.6949280500411987,0.7480000257492065,0.7915670871734619
54,0.7368888854980469,0.7039780616760254,0.7319999933242798,0.8093283772468567
55,0.7528889179229736,0.6526587605476379,0.7360000014305115,0.9209089279174805
56,0.7631111145019531,0.6440092921257019,0.6800000071525574,0.993419885635376
57,0.758222222328186,0.6580092310905457,0.7039999961853027,1.0224151611328125
58,0.7519999742507935,0.6738392114639282,0.7639999985694885,0.8125951290130615
59,0.7586666941642761,0.6705713868141174,0.7239999771118164,0.9175782203674316
60,0.753333330154419,0.6630777716636658,0.7160000205039978,0.7860057353973389
61,0.7555555701255798,0.6307893395423889,0.7400000095367432,0.6888526082038879
62,0.7635555267333984,0.6371346712112427,0.656000018119812,0.9865930080413818
63,0.7720000147819519,0.6218772530555725,0.6079999804496765,1.2913442850112915
64,0.7706666588783264,0.6202921271324158,0.6840000152587891,0.9663314819335938
65,0.7808889150619507,0.5906464457511902,0.7319999933242798,0.8449993133544922
66,0.7693333625793457,0.6081201434135437,0.7799999713897705,0.6422518491744995
67,0.7755555510520935,0.6096845865249634,0.7039999961853027,0.8856739401817322
68,0.7808889150619507,0.5918630361557007,0.7039999961853027,0.8498721122741699
69,0.7995555400848389,0.5801751017570496,0.7639999985694885,0.6337199211120605
70,0.7760000228881836,0.6006673574447632,0.7919999957084656,0.686970591545105
71,0.7804444432258606,0.595100998878479,0.6439999938011169,1.1964524984359741
72,0.7848888635635376,0.5803947448730469,0.6800000071525574,0.8773777484893799
73,0.7791110873222351,0.6086416840553284,0.7599999904632568,0.755704939365387
74,0.7844444513320923,0.5357153415679932,0.6959999799728394,1.0441243648529053
75,0.7888888716697693,0.5739114284515381,0.7799999713897705,0.6432099938392639
76,0.7857778072357178,0.573567807674408,0.7879999876022339,0.6890478134155273
77,0.7986666560173035,0.5629449486732483,0.7639999985694885,0.687624990940094
78,0.8066666722297668,0.5184465646743774,0.7960000038146973,0.645222008228302
79,0.7991111278533936,0.5464741587638855,0.7799999713897705,0.6069488525390625
80,0.8035555481910706,0.5458809733390808,0.8119999766349792,0.5996372699737549
81,0.7915555834770203,0.5618382096290588,0.7639999985694885,0.7288761734962463
82,0.7995555400848389,0.529326319694519,0.7839999794960022,0.6133919954299927
83,0.7946666479110718,0.5457161664962769,0.8040000200271606,0.6961278915405273
84,0.7982222437858582,0.543509840965271,0.8320000171661377,0.4981977641582489
85,0.8035555481910706,0.5258544683456421,0.8240000009536743,0.4880578815937042
86,0.8057777881622314,0.5255176424980164,0.6600000262260437,1.1775158643722534
87,0.8244444727897644,0.4899652302265167,0.7720000147819519,0.6560379862785339
88,0.8124444484710693,0.5022797584533691,0.7239999771118164,0.9065980911254883
89,0.820888876914978,0.5093923211097717,0.7360000014305115,1.123595118522644
90,0.8240000009536743,0.48855647444725037,0.828000009059906,0.5066721439361572
91,0.8151111006736755,0.5010331273078918,0.8119999766349792,0.560784101486206
92,0.8346666693687439,0.46352365612983704,0.7639999985694885,0.6737841963768005
93,0.8257777690887451,0.46673959493637085,0.7519999742507935,0.8909499645233154
94,0.8271111249923706,0.48447808623313904,0.8159999847412109,0.5247656106948853
95,0.8253333568572998,0.5034984946250916,0.7599999904632568,0.7594209909439087
96,0.8159999847412109,0.5207952260971069,0.7799999713897705,0.7962939739227295
97,0.8328889012336731,0.4533478915691376,0.7480000257492065,0.7593008875846863
98,0.8226666450500488,0.46384695172309875,0.8199999928474426,0.5912683606147766
99,0.8306666612625122,0.47598645091056824,0.7960000038146973,0.6608165502548218
100,0.832444429397583,0.44165870547294617,0.7879999876022339,0.5644425749778748
101,0.8364444375038147,0.4609069526195526,0.7599999904632568,0.8687813878059387
102,0.8306666612625122,0.46791964769363403,0.7919999957084656,0.5998697876930237
103,0.8266666531562805,0.4467960596084595,0.800000011920929,0.5884320735931396
104,0.8382222056388855,0.43836405873298645,0.6919999718666077,1.0529054403305054
105,0.8377777934074402,0.44503405690193176,0.7360000014305115,0.8475321531295776
106,0.839555561542511,0.43893054127693176,0.7239999771118164,1.2172975540161133
107,0.8311111330986023,0.45535704493522644,0.7720000147819519,0.6948714256286621
108,0.8519999980926514,0.4188482165336609,0.7480000257492065,0.9407509565353394
109,0.851111114025116,0.40660279989242554,0.8080000281333923,0.5249549746513367
